Symbol,CoinName
BTC,Bitcoin
ETH,Ethereum
LTC,Litecoin
DASH,Dash
XMR,Monero
ETC,Ethereum Classic
ZEC,ZCash
BTS,Bitshares
DGB,DigiByte
BTCD,BitcoinDark
CRAIG,CraigsCoin
XBS,Bitstake
XPY,PayCoin
PRC,ProsperCoin
YBC,YbCoin
DANK,DarkKush
GIVE,GiveCoin
KOBO,KoboCoin
DT,DarkToken
CETI,CETUS Coin
SPR,Spreadcoin
WOLF,Insanity Coin
ACOIN,ACoin
AERO,Aero Coin
ALF,AlphaCoin
AGS,Aegis
AMC,AmericanCoin
ALN,AlienCoin
APEX,ApexCoin
ARCH,ArchCoin
ARG,Argentum
ARI,AriCoin
AUR,Aurora Coin
BET,BetaCoin
BEAN,BeanCash
BLU,BlueCoin
BQC,BQCoin
XMY,MyriadCoin
MOON,MoonCoin
ZET,ZetaCoin
SXC,SexCoin
QTL,Quatloo
ENRG,EnergyCoin
QRK,QuarkCoin
RIC,Riecoin
DGC,Digitalcoin 
LIMX,LimeCoinX
BTB,BitBar
CAIX,CAIx
BTMK,BitMark
BUK,CryptoBuk
CACH,Cachecoin
CAP,BottleCaps
CASH,CashCoin
CAT,Catcoin
CBX,CryptoBullion
CCN,CannaCoin
CIN,CinderCoin
CINNI,CINNICOIN
CLR,CopperLark
CMC,CosmosCoin
CNC,ChinaCoin
CNL,ConcealCoin
COMM,Community Coin
COOL,CoolCoin
CRACK,CrackCoin
CRYPT,CryptCoin
CSC,CasinoCoin
DEM,eMark
DMD,Diamond
XVG,Verge
DRKC,DarkCash
DSB,DarkShibe
DVC,DevCoin
EAC,EarthCoin
EFL,E-Gulden
ELC,Elacoin
EMC2,Einsteinium
EMD,Emerald
EXCL,Exclusive Coin
EXE,ExeCoin
EZC,EZCoin
FLAP,Flappy Coin
FC2,Fuel2Coin
FFC,FireflyCoin
FIBRE,FIBRE
FRC,FireRoosterCoin
FLT,FlutterCoin
FRK,Franko
FRAC,FractalCoin
FSTC,FastCoin
FTC,FeatherCoin
GDC,GrandCoin
GLC,GlobalCoin
GLD,GoldCoin
GLX,GalaxyCoin
GLYPH,GlyphCoin
GML,GameLeagueCoin
GUE,GuerillaCoin
HAL,Halcyon
HBN,HoboNickels
HUC,HunterCoin
HVC,HeavyCoin
HYP,HyperStake
ICB,IceBergCoin
IFC,Infinite Coin
IOC,IOCoin
IXC,IXcoin
JBS,JumBucks Coin
JKC,JunkCoin
JUDGE,JudgeCoin
KDC,Klondike Coin
KEYC,KeyCoin
KGC,KrugerCoin
LK7,Lucky7Coin
LKY,LuckyCoin
LSD,LightSpeedCoin
LTB,Litebar 
LTCD,LitecoinDark
LTCX,LitecoinX
LXC,LibrexCoin
LYC,LycanCoin
MAX,MaxCoin
MEC,MegaCoin
MED,MediterraneanCoin
MINRL,Minerals Coin
MINT,MintCoin
MN,Cryptsy Mining Contract
MINC,MinCoin
MRY,MurrayCoin
MZC,MazaCoin
NAN,NanoToken
NAUT,Nautilus Coin
NAV,NavCoin
NBL,Nybble
NMB,Nimbus Coin
NRB,NoirBits
NOBL,NobleCoin
NRS,NoirShares
NMC,Namecoin
NYAN,NyanCoin
